Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2006-10-02,86.97,87.97,86.91,87.48,1194600.0,0.0,1.0,9.3118338307368,9.4189033240188,9.3054096611399,9.3664392723106,9556800.0
2006-10-03,87.23,87.97,86.93,87.86,1402900.0,0.0,1.0,9.3396718989901,9.4189033240188,9.3075510510055,9.4071256797578,11223200.0
2006-10-04,87.7,89.57,87.7,89.3,2337700.0,0.0,1.0,9.3899945608327,9.59021451327,9.3899945608327,9.5613057500839,18701600.0
2006-10-05,88.75,89.45,88.41,89.01,1703700.0,0.0,1.0,9.5024175287788,9.5773661740762,9.4660139010629,9.5302555970321,13629600.0
2006-10-06,88.74,88.74,87.4,88.15,1602900.0,0.0,1.0,9.501346833846,9.501346833846,9.3578737128481,9.4381758328096,12823200.0
2006-10-09,87.7,88.68,87.52,88.46,970100.0,0.0,1.0,9.3899945608327,9.494922664249,9.3707220520419,9.471367375727,7760800.0
2006-10-10,88.39,89.35,88.39,88.58,1153300.0,0.0,1.0,9.4638725111973,9.566659224748,9.4638725111973,9.4842157149208,9226400.0
2006-10-11,88.5,88.74,87.78,88.44,889400.0,0.0,1.0,9.4756501554583,9.501346833846,9.3985601202952,9.4692259858614,7115200.0
2006-10-12,88.34,90.02,88.16,89.81,2001600.0,0.0,1.0,9.4585190365332,9.6383957852469,9.4392465277424,9.6159111916577,16012800.0
2006-10-13,89.5,90.03,89.304,89.6,1114200.0,0.0,1.0,9.5827196487403,9.6394664801798,9.561734028057,9.5934265980685,8913600.0
2006-10-16,89.6,90.75,89.6,90.53,1591700.0,0.0,1.0,9.5934265980685,9.7165565153428,9.5934265980685,9.6930012268208,12733600.0
2006-10-17,90.0,90.33,89.28,89.75,1449500.0,0.0,1.0,9.6362543953813,9.6715873281644,9.5591643602182,9.6094870220608,11596000.0
2006-10-18,89.83,89.9,88.21,89.01,1827600.0,0.0,1.0,9.6180525815234,9.6255474460531,9.4446000024065,9.5302555970321,14620800.0
2006-10-19,88.6,89.58,88.22,89.4,861500.0,0.0,1.0,9.4863571047865,9.5912852082029,9.4456706973393,9.5720126994121,6892000.0
