,Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume,twitter,avg_sentiment,total_tweets,total_retweets,total_favorites,change,change_int
0,2006-10-02,24.67,25.05,24.4,24.81,17817400.0,0.0,1.0,24.67,25.05,24.4,24.81,17817400.0,,0.0,0.0,0.0,0.0,0.0,-1
1,2006-10-03,24.4,24.51,23.79,24.13,19087300.0,0.0,1.0,24.4,24.51,23.79,24.13,19087300.0,,0.0,0.0,0.0,0.0,-0.6799999999999997,-1
2,2006-10-04,24.0,25.1,23.95,25.03,17869600.0,0.0,1.0,24.0,25.1,23.95,25.03,17869600.0,,0.0,0.0,0.0,0.0,0.9000000000000021,1
3,2006-10-05,24.8,25.24,24.6,25.11,17304500.0,0.0,1.0,24.8,25.24,24.6,25.11,17304500.0,,0.0,0.0,0.0,0.0,0.0799999999999983,1
4,2006-10-06,24.52,24.8,23.96,24.01,17299800.0,0.0,1.0,24.52,24.8,23.96,24.01,17299800.0,,0.0,0.0,0.0,0.0,-1.0999999999999979,-1
5,2006-10-09,24.3,24.62,22.95,23.0,34081800.0,0.0,1.0,24.3,24.62,22.95,23.0,34081800.0,,0.0,0.0,0.0,0.0,-1.0100000000000016,-1
6,2006-10-10,23.21,23.73,22.87,23.14,27698100.0,0.0,1.0,23.21,23.73,22.87,23.14,27698100.0,,0.0,0.0,0.0,0.0,0.14000000000000057,1
7,2006-10-11,23.08,24.56,22.87,24.27,29329600.0,0.0,1.0,23.08,24.56,22.87,24.27,29329600.0,,0.0,0.0,0.0,0.0,1.129999999999999,1
8,2006-10-12,24.33,24.72,24.04,24.69,19510400.0,0.0,1.0,24.33,24.72,24.04,24.69,19510400.0,,0.0,0.0,0.0,0.0,0.4200000000000017,1
9,2006-10-13,24.57,25.4,24.57,25.23,19364900.0,0.0,1.0,24.57,25.4,24.57,25.23,19364900.0,,0.0,0.0,0.0,0.0,0.5399999999999991,1
10,2006-10-16,25.44,25.69,25.14,25.38,17730800.0,0.0,1.0,25.44,25.69,25.14,25.38,17730800.0,,0.0,0.0,0.0,0.0,0.14999999999999858,1
11,2006-10-17,24.82,24.9,24.07,24.48,22547600.0,0.0,1.0,24.82,24.9,24.07,24.48,22547600.0,,0.0,0.0,0.0,0.0,-0.8999999999999986,-1
12,2006-10-18,24.8,25.16,24.08,24.23,40929500.0,0.0,1.0,24.8,25.16,24.08,24.23,40929500.0,,0.0,0.0,0.0,0.0,-0.25,-1
13,2006-10-19,22.0,22.0,20.91,21.01,96497700.0,0.0,1.0,22.0,22.0,20.91,21.01,96497700.0,,0.0,0.0,0.0,0.0,-3.219999999999999,-1
14,2006-10-20,21.18,21.18,20.0,20.12,51593200.0,0.0,1.0,21.18,21.18,20.0,20.12,51593200.0,,0.0,0.0,0.0,0.0,-0.8900000000000006,-1
15,2006-10-23,20.22,20.87,20.15,20.24,34231700.0,0.0,1.0,20.22,20.87,20.15,20.24,34231700.0,,0.0,0.0,0.0,0.0,0.11999999999999744,1
16,2006-10-24,20.48,20.64,20.28,20.32,37597100.0,0.0,1.0,20.48,20.64,20.28,20.32,37597100.0,,0.0,0.0,0.0,0.0,0.08000000000000185,1
17,2006-10-25,20.42,20.93,20.35,20.83,30140000.0,0.0,1.0,20.42,20.93,20.35,20.83,30140000.0,,0.0,0.0,0.0,0.0,0.509999999999998,1
18,2006-10-26,21.28,21.68,21.0,21.5,33031400.0,0.0,1.0,21.28,21.68,21.0,21.5,33031400.0,,0.0,0.0,0.0,0.0,0.6700000000000017,1
19,2006-10-27,21.42,21.79,20.74,20.86,28098900.0,0.0,1.0,21.42,21.79,20.74,20.86,28098900.0,,0.0,0.0,0.0,0.0,-0.6400000000000006,-1
20,2006-10-30,20.96,21.5,20.82,21.32,19939700.0,0.0,1.0,20.96,21.5,20.82,21.32,19939700.0,,0.0,0.0,0.0,0.0,0.46000000000000085,1
21,2006-10-31,21.42,21.57,20.95,21.27,17571200.0,0.0,1.0,21.42,21.57,20.95,21.27,17571200.0,,0.0,0.0,0.0,0.0,-0.05000000000000071,-1
22,2006-11-01,21.3,21.34,20.67,20.73,23508500.0,0.0,1.0,21.3,21.34,20.67,20.73,23508500.0,,0.0,0.0,0.0,0.0,-0.5399999999999991,-1
23,2006-11-02,20.62,21.06,20.56,20.85,16829700.0,0.0,1.0,20.62,21.06,20.56,20.85,16829700.0,,0.0,0.0,0.0,0.0,0.120000000000001,1
24,2006-11-03,20.95,21.09,20.81,20.88,17719200.0,0.0,1.0,20.95,21.09,20.81,20.88,17719200.0,,0.0,0.0,0.0,0.0,0.029999999999997584,1
25,2006-11-06,21.07,21.48,21.06,21.39,17919800.0,0.0,1.0,21.07,21.48,21.06,21.39,17919800.0,,0.0,0.0,0.0,0.0,0.5100000000000016,1
26,2006-11-07,21.5,21.98,21.4,21.56,18720300.0,0.0,1.0,21.5,21.98,21.4,21.56,18720300.0,,0.0,0.0,0.0,0.0,0.16999999999999815,1
27,2006-11-08,21.38,21.5,20.84,21.25,20653000.0,0.0,1.0,21.38,21.5,20.84,21.25,20653000.0,,0.0,0.0,0.0,0.0,-0.3099999999999987,-1
28,2006-11-09,21.58,21.6,20.8,20.89,21301800.0,0.0,1.0,21.58,21.6,20.8,20.89,21301800.0,,0.0,0.0,0.0,0.0,-0.35999999999999943,-1
29,2006-11-10,20.83,21.16,20.82,21.07,12329600.0,0.0,1.0,20.83,21.16,20.82,21.07,12329600.0,,0.0,0.0,0.0,0.0,0.17999999999999972,1
30,2006-11-13,21.06,21.37,21.01,21.2,17101500.0,0.0,1.0,21.06,21.37,21.01,21.2,17101500.0,,0.0,0.0,0.0,0.0,0.129999999999999,1
31,2006-11-14,21.05,21.41,20.79,21.34,23649100.0,0.0,1.0,21.05,21.41,20.79,21.34,23649100.0,,0.0,0.0,0.0,0.0,0.14000000000000057,1
32,2006-11-15,21.47,21.92,21.35,21.71,25125400.0,0.0,1.0,21.47,21.92,21.35,21.71,25125400.0,,0.0,0.0,0.0,0.0,0.370000000000001,1
33,2006-11-16,21.9,21.95,21.38,21.74,17887400.0,0.0,1.0,21.9,21.95,21.38,21.74,17887400.0,,0.0,0.0,0.0,0.0,0.029999999999997584,1
34,2006-11-17,21.51,21.7,21.31,21.45,14740800.0,0.0,1.0,21.51,21.7,21.31,21.45,14740800.0,,0.0,0.0,0.0,0.0,-0.28999999999999915,-1
35,2006-11-20,21.41,21.56,21.21,21.44,16080000.0,0.0,1.0,21.41,21.56,21.21,21.44,16080000.0,,0.0,0.0,0.0,0.0,-0.00999999999999801,-1
36,2006-11-21,21.47,21.65,21.05,21.24,19988900.0,0.0,1.0,21.47,21.65,21.05,21.24,19988900.0,,0.0,0.0,0.0,0.0,-0.20000000000000284,-1
37,2006-11-22,21.55,21.85,21.3,21.77,15604100.0,0.0,1.0,21.55,21.85,21.3,21.77,15604100.0,,0.0,0.0,0.0,0.0,0.5300000000000011,1
38,2006-11-24,21.58,21.97,21.54,21.8,5400800.0,0.0,1.0,21.58,21.97,21.54,21.8,5400800.0,,0.0,0.0,0.0,0.0,0.030000000000001137,1
39,2006-11-27,21.72,22.33,21.62,21.83,24453600.0,0.0,1.0,21.72,22.33,21.62,21.83,24453600.0,,0.0,0.0,0.0,0.0,0.029999999999997584,1
40,2006-11-28,21.85,22.09,21.61,21.93,15159400.0,0.0,1.0,21.85,22.09,21.61,21.93,15159400.0,,0.0,0.0,0.0,0.0,0.10000000000000142,1
41,2006-11-29,22.15,22.19,21.33,21.41,21208700.0,0.0,1.0,22.15,22.19,21.33,21.41,21208700.0,,0.0,0.0,0.0,0.0,-0.5199999999999996,-1
42,2006-11-30,21.53,21.94,21.12,21.57,23809500.0,0.0,1.0,21.53,21.94,21.12,21.57,23809500.0,,0.0,0.0,0.0,0.0,0.16000000000000014,1
43,2006-12-01,21.3,21.53,20.41,20.69,32273900.0,0.0,1.0,21.3,21.53,20.41,20.69,32273900.0,,0.0,0.0,0.0,0.0,-0.879999999999999,-1
44,2006-12-04,20.85,21.33,20.65,21.04,17967300.0,0.0,1.0,20.85,21.33,20.65,21.04,17967300.0,,0.0,0.0,0.0,0.0,0.34999999999999787,1
45,2006-12-05,21.04,21.49,21.04,21.34,16962900.0,0.0,1.0,21.04,21.49,21.04,21.34,16962900.0,,0.0,0.0,0.0,0.0,0.3000000000000007,1
46,2006-12-06,21.11,21.59,21.07,21.49,17056000.0,0.0,1.0,21.11,21.59,21.07,21.49,17056000.0,,0.0,0.0,0.0,0.0,0.14999999999999858,1
47,2006-12-07,21.53,21.73,21.03,21.05,17665500.0,0.0,1.0,21.53,21.73,21.03,21.05,17665500.0,,0.0,0.0,0.0,0.0,-0.4399999999999977,-1
48,2006-12-08,21.01,21.15,20.69,20.93,19635000.0,0.0,1.0,21.01,21.15,20.69,20.93,19635000.0,,0.0,0.0,0.0,0.0,-0.120000000000001,-1
49,2006-12-11,21.02,21.09,20.61,20.69,15527600.0,0.0,1.0,21.02,21.09,20.61,20.69,15527600.0,,0.0,0.0,0.0,0.0,-0.23999999999999844,-1
50,2006-12-12,20.62,20.79,20.37,20.47,16091800.0,0.0,1.0,20.62,20.79,20.37,20.47,16091800.0,,0.0,0.0,0.0,0.0,-0.22000000000000242,-1
51,2006-12-13,20.58,20.74,19.9,20.17,28031200.0,0.0,1.0,20.58,20.74,19.9,20.17,28031200.0,,0.0,0.0,0.0,0.0,-0.29999999999999716,-1
52,2006-12-14,20.22,22.8,20.22,22.71,76120200.0,0.0,1.0,20.22,22.8,20.22,22.71,76120200.0,,0.0,0.0,0.0,0.0,2.539999999999999,1
53,2006-12-15,22.95,23.0,22.02,22.12,34431000.0,0.0,1.0,22.95,23.0,22.02,22.12,34431000.0,,0.0,0.0,0.0,0.0,-0.5899999999999999,-1
54,2006-12-18,22.05,22.21,21.72,21.97,24239800.0,0.0,1.0,22.05,22.21,21.72,21.97,24239800.0,,0.0,0.0,0.0,0.0,-0.15000000000000213,-1
55,2006-12-19,21.7,22.01,21.6,21.64,19482700.0,0.0,1.0,21.7,22.01,21.6,21.64,19482700.0,,0.0,0.0,0.0,0.0,-0.3299999999999983,-1
56,2006-12-20,21.61,21.99,21.61,21.85,11292300.0,0.0,1.0,21.61,21.99,21.61,21.85,11292300.0,,0.0,0.0,0.0,0.0,0.21000000000000085,1
57,2006-12-21,21.97,22.0,20.91,20.95,22505600.0,0.0,1.0,21.97,22.0,20.91,20.95,22505600.0,,0.0,0.0,0.0,0.0,-0.9000000000000021,-1
58,2006-12-22,21.0,21.2,20.68,20.77,10634200.0,0.0,1.0,21.0,21.2,20.68,20.77,10634200.0,,0.0,0.0,0.0,0.0,-0.17999999999999972,-1
59,2006-12-26,20.89,20.89,20.45,20.6,7190700.0,0.0,1.0,20.89,20.89,20.45,20.6,7190700.0,,0.0,0.0,0.0,0.0,-0.16999999999999815,-1
60,2006-12-27,20.71,20.84,20.5,20.7,9919300.0,0.0,1.0,20.71,20.84,20.5,20.7,9919300.0,,0.0,0.0,0.0,0.0,0.09999999999999787,1
61,2006-12-28,20.56,20.75,20.52,20.57,8023900.0,0.0,1.0,20.56,20.75,20.52,20.57,8023900.0,,0.0,0.0,0.0,0.0,-0.129999999999999,-1
62,2006-12-29,20.5,20.73,20.3,20.35,11594000.0,0.0,1.0,20.5,20.73,20.3,20.35,11594000.0,,0.0,0.0,0.0,0.0,-0.21999999999999886,-1
63,2007-01-03,20.0,20.4,19.35,19.52,28350300.0,0.0,1.0,20.0,20.4,19.35,19.52,28350300.0,,0.0,0.0,0.0,0.0,-0.8300000000000018,-1
64,2007-01-04,19.6,19.86,19.32,19.79,23652500.0,0.0,1.0,19.6,19.86,19.32,19.79,23652500.0,,0.0,0.0,0.0,0.0,0.2699999999999996,1
65,2007-01-05,19.54,19.91,19.54,19.71,15902400.0,0.0,1.0,19.54,19.91,19.54,19.71,15902400.0,,0.0,0.0,0.0,0.0,-0.0799999999999983,-1
66,2007-01-08,19.86,19.86,19.25,19.47,15814800.0,0.0,1.0,19.86,19.86,19.25,19.47,15814800.0,,0.0,0.0,0.0,0.0,-0.240000000000002,-1
67,2007-01-09,19.6,19.71,19.37,19.65,14494200.0,0.0,1.0,19.6,19.71,19.37,19.65,14494200.0,,0.0,0.0,0.0,0.0,0.17999999999999972,1
68,2007-01-10,19.62,20.02,19.5,20.01,19783200.0,0.0,1.0,19.62,20.02,19.5,20.01,19783200.0,,0.0,0.0,0.0,0.0,0.360000000000003,1
69,2007-01-11,19.8,20.63,19.8,20.18,23135700.0,0.0,1.0,19.8,20.63,19.8,20.18,23135700.0,,0.0,0.0,0.0,0.0,0.16999999999999815,1
70,2007-01-12,18.65,18.77,17.62,18.26,123328200.0,0.0,1.0,18.65,18.77,17.62,18.26,123328200.0,,0.0,0.0,0.0,0.0,-1.9199999999999982,-1
71,2007-01-16,18.15,18.35,17.95,18.13,37697200.0,0.0,1.0,18.15,18.35,17.95,18.13,37697200.0,,0.0,0.0,0.0,0.0,-0.13000000000000256,-1
72,2007-01-17,17.94,18.28,17.9,18.2,21415000.0,0.0,1.0,17.94,18.28,17.9,18.2,21415000.0,,0.0,0.0,0.0,0.0,0.07000000000000028,1
73,2007-01-18,18.07,18.18,17.76,17.92,21712500.0,0.0,1.0,18.07,18.18,17.76,17.92,21712500.0,,0.0,0.0,0.0,0.0,-0.2799999999999976,-1
74,2007-01-19,17.79,17.98,17.66,17.73,22764400.0,0.0,1.0,17.79,17.98,17.66,17.73,22764400.0,,0.0,0.0,0.0,0.0,-0.19000000000000128,-1
75,2007-01-22,17.59,17.64,17.26,17.53,24494900.0,0.0,1.0,17.59,17.64,17.26,17.53,24494900.0,,0.0,0.0,0.0,0.0,-0.1999999999999993,-1
76,2007-01-23,17.6,17.7,17.37,17.51,25341200.0,0.0,1.0,17.6,17.7,17.37,17.51,25341200.0,,0.0,0.0,0.0,0.0,-0.019999999999999574,-1
77,2007-01-24,16.04,16.45,15.93,16.03,74633800.0,0.0,1.0,16.04,16.45,15.93,16.03,74633800.0,,0.0,0.0,0.0,0.0,-1.4800000000000004,-1
78,2007-01-25,16.25,16.41,16.0,16.05,30902100.0,0.0,1.0,16.25,16.41,16.0,16.05,30902100.0,,0.0,0.0,0.0,0.0,0.019999999999999574,1
79,2007-01-26,16.15,16.27,16.01,16.22,28649600.0,0.0,1.0,16.15,16.27,16.01,16.22,28649600.0,,0.0,0.0,0.0,0.0,0.16999999999999815,1
80,2007-01-29,16.15,16.23,15.85,15.95,30040100.0,0.0,1.0,16.15,16.23,15.85,15.95,30040100.0,,0.0,0.0,0.0,0.0,-0.2699999999999996,-1
81,2007-01-30,16.0,16.0,15.65,15.79,20399500.0,0.0,1.0,16.0,16.0,15.65,15.79,20399500.0,,0.0,0.0,0.0,0.0,-0.16000000000000014,-1
82,2007-01-31,15.8,15.89,15.52,15.55,30280100.0,0.0,1.0,15.8,15.89,15.52,15.55,30280100.0,,0.0,0.0,0.0,0.0,-0.23999999999999844,-1
83,2007-02-01,15.62,15.85,15.57,15.77,23450600.0,0.0,1.0,15.62,15.85,15.57,15.77,23450600.0,,0.0,0.0,0.0,0.0,0.21999999999999886,1
84,2007-02-02,15.9,15.91,15.66,15.69,20216200.0,0.0,1.0,15.9,15.91,15.66,15.69,20216200.0,,0.0,0.0,0.0,0.0,-0.08000000000000007,-1
85,2007-02-05,15.74,15.8,15.52,15.6,18451700.0,0.0,1.0,15.74,15.8,15.52,15.6,18451700.0,,0.0,0.0,0.0,0.0,-0.08999999999999986,-1
86,2007-02-06,15.62,15.67,15.13,15.32,31872900.0,0.0,1.0,15.62,15.67,15.13,15.32,31872900.0,,0.0,0.0,0.0,0.0,-0.27999999999999936,-1
87,2007-02-07,15.39,15.55,15.36,15.5,17258300.0,0.0,1.0,15.39,15.55,15.36,15.5,17258300.0,,0.0,0.0,0.0,0.0,0.17999999999999972,1
88,2007-02-08,15.4,15.46,15.11,15.13,24673000.0,0.0,1.0,15.4,15.46,15.11,15.13,24673000.0,,0.0,0.0,0.0,0.0,-0.3699999999999992,-1
89,2007-02-09,15.06,15.26,14.8,14.9,30651800.0,0.0,1.0,15.06,15.26,14.8,14.9,30651800.0,,0.0,0.0,0.0,0.0,-0.23000000000000043,-1
90,2007-02-12,14.96,15.01,14.66,14.69,20472600.0,0.0,1.0,14.96,15.01,14.66,14.69,20472600.0,,0.0,0.0,0.0,0.0,-0.21000000000000085,-1
91,2007-02-13,14.75,14.86,14.47,14.6,17824500.0,0.0,1.0,14.75,14.86,14.47,14.6,17824500.0,,0.0,0.0,0.0,0.0,-0.08999999999999986,-1
92,2007-02-14,14.65,15.13,14.61,14.95,31912700.0,0.0,1.0,14.65,15.13,14.61,14.95,31912700.0,,0.0,0.0,0.0,0.0,0.34999999999999964,1
93,2007-02-15,15.01,15.02,14.75,14.83,15886100.0,0.0,1.0,15.01,15.02,14.75,14.83,15886100.0,,0.0,0.0,0.0,0.0,-0.11999999999999922,-1
94,2007-02-16,14.8,15.0,14.7,14.94,15951200.0,0.0,1.0,14.8,15.0,14.7,14.94,15951200.0,,0.0,0.0,0.0,0.0,0.10999999999999943,1
95,2007-02-20,14.93,15.01,14.7,14.92,21961300.0,0.0,1.0,14.93,15.01,14.7,14.92,21961300.0,,0.0,0.0,0.0,0.0,-0.019999999999999574,-1
96,2007-02-21,14.76,14.85,14.52,14.56,23986900.0,0.0,1.0,14.76,14.85,14.52,14.56,23986900.0,,0.0,0.0,0.0,0.0,-0.35999999999999943,-1
97,2007-02-22,14.48,14.7,14.43,14.55,26771700.0,0.0,1.0,14.48,14.7,14.43,14.55,26771700.0,,0.0,0.0,0.0,0.0,-0.009999999999999787,-1
98,2007-02-23,14.59,14.76,14.59,14.69,22884800.0,0.0,1.0,14.59,14.76,14.59,14.69,22884800.0,,0.0,0.0,0.0,0.0,0.1399999999999988,1
99,2007-02-26,14.83,15.73,14.8,15.68,65831500.0,0.0,1.0,14.83,15.73,14.8,15.68,65831500.0,,0.0,0.0,0.0,0.0,0.9900000000000002,1
100,2007-02-27,15.36,15.44,14.86,15.08,43273800.0,0.0,1.0,15.36,15.44,14.86,15.08,43273800.0,,0.0,0.0,0.0,0.0,-0.5999999999999996,-1
101,2007-02-28,15.3,15.3,14.96,15.07,32605500.0,0.0,1.0,15.3,15.3,14.96,15.07,32605500.0,,0.0,0.0,0.0,0.0,-0.009999999999999787,-1
102,2007-03-01,14.9,14.98,14.76,14.79,25736300.0,0.0,1.0,14.9,14.98,14.76,14.79,25736300.0,,0.0,0.0,0.0,0.0,-0.28000000000000114,-1
103,2007-03-02,14.66,14.74,14.13,14.18,49779200.0,0.0,1.0,14.66,14.74,14.13,14.18,49779200.0,,0.0,0.0,0.0,0.0,-0.6099999999999994,-1
104,2007-03-05,13.74,14.0,13.53,13.95,32175300.0,0.0,1.0,13.74,14.0,13.53,13.95,32175300.0,,0.0,0.0,0.0,0.0,-0.23000000000000043,-1
105,2007-03-06,14.18,14.35,14.02,14.09,17971300.0,0.0,1.0,14.18,14.35,14.02,14.09,17971300.0,,0.0,0.0,0.0,0.0,0.14000000000000057,1
106,2007-03-07,14.02,14.22,13.9,14.1,21556900.0,0.0,1.0,14.02,14.22,13.9,14.1,21556900.0,,0.0,0.0,0.0,0.0,0.009999999999999787,1
107,2007-03-08,14.24,14.27,13.96,14.19,21157000.0,0.0,1.0,14.24,14.27,13.96,14.19,21157000.0,,0.0,0.0,0.0,0.0,0.08999999999999986,1
108,2007-03-09,14.25,14.33,14.13,14.2,19111200.0,0.0,1.0,14.25,14.33,14.13,14.2,19111200.0,,0.0,0.0,0.0,0.0,0.009999999999999787,1
109,2007-03-12,14.09,14.27,14.04,14.17,14612100.0,0.0,1.0,14.09,14.27,14.04,14.17,14612100.0,,0.0,0.0,0.0,0.0,-0.02999999999999936,-1
110,2007-03-13,14.09,14.12,13.76,13.94,23148300.0,0.0,1.0,14.09,14.12,13.76,13.94,23148300.0,,0.0,0.0,0.0,0.0,-0.23000000000000043,-1
