favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
62,Sprinklr,When you just can't resist a new furry friend 🐻😍 You can find this bear and other oversized stuffed animals in stor… https://t.co/nHrNsOetjH,,False,Tue Dec 05 18:19:02 +0000 2017,9,938110480362680323
0,Sprinklr,@ndp1234 Oh no! It probably expired. Our coupons are typically valid for 10-14 days. Please send us a DM so we can help.,ndp1234,False,Fri May 25 19:07:00 +0000 2018,0,1000090878340485120
0,Sprinklr,"@kshiteeshspeaks Hi, we have passed this along to our Customer Care team. Stay tuned for a response.",kshiteeshspeaks,False,Mon Jan 12 05:58:50 +0000 2015,0,554517841899438080
15,Sprinklr,Mix some big #saving into your famous dish this #thanksgiving! Shop #BigLots!  https://t.co/9V2OZ53oj2 https://t.co/C76thA4FoO,,False,Tue Nov 24 23:55:01 +0000 2015,1,669303237619679234
0,Sprinklr,@wagner_madilyn So sorry -- we don't carry those!,wagner_madilyn,False,Thu Jun 19 14:59:26 +0000 2014,0,479639600902991872
0,Sprinklr,@dabulTONE We can help! Please call our Customer Care Team at 866-244-5687 or follow this link: https://t.co/Oma8M27XD8,dabulTONE,False,Thu Oct 20 14:38:37 +0000 2016,1,789113598475919364
18,Sprinklr,"Let's go to the seaside - collect seashells, put our toes in the sand &amp; soak up the sun. https://t.co/zJZ2ryuGDv",,False,Thu May 18 20:05:02 +0000 2017,3,865297195381248000
11,Sprinklr,"As the #weather warms up, so do the #deals at #BigLots! Get your #coupon here: http://t.co/Rz62izUzIh and #save more! http://t.co/izsC1mjWoL",,False,Sat Apr 04 13:45:00 +0000 2015,5,584350963118514177
1,Sprinklr,"@Schackne We'd like to help. Please call our Customer Care Team at 866-244-5687, or follow this link: https://t.co/rJFRbegN8A",Schackne,False,Mon Jan 22 17:15:43 +0000 2018,0,955489165625511937
29,Twitter Web Client,"It is our hope that by the end of this weekend, this beam is covered in names and messages for the patients who wil… https://t.co/nBko6w3gAF",BigLots,False,Sat Apr 21 14:17:30 +0000 2018,9,987696833433612289
1,Hootsuite,@MsMac0604 Love it :),Ljoriddle,False,Mon Jan 06 14:56:30 +0000 2014,0,420207253300707328
0,Hootsuite,#California dwellers: Looking for a rewarding #career? Stop by one of our local #jobfairs: http://t.co/8W301DA1Lo,,False,Thu Feb 27 19:42:25 +0000 2014,0,439123374804328448
11,Sprinklr,#Football is finally here! Get ready with #tailgating supplies from #BigLots! http://t.co/YubKVOGEJz http://t.co/JmAyQsPVaz,,False,Thu Sep 03 23:14:01 +0000 2015,3,639577114040213504
30,Sprinklr,Take advantage of our Swing Into #Spring Event! 🌷 Save up to $40 with #coupon here: https://t.co/42T819CDTj https://t.co/HkHt0kFWbu,,False,Sun Apr 17 14:45:55 +0000 2016,15,721711291916775425
0,Sprinklr,@pamjsf No worries at all. We're glad to hear you found the item! Thanks so much for shopping with us. :),pamjsf,False,Wed Nov 05 18:05:00 +0000 2014,0,530058214227066881
15,Sprinklr,Today is the college football championship game! 🏈 Who are you rooting for? | Find the recipe for these cute chocol… https://t.co/yy2NE3jSjG,,False,Mon Jan 07 14:04:01 +0000 2019,3,1082276672655843329
0,Sprinklr,@gregnclt Thanks for letting us know. Which location is this? Please follow this link here: http://t.co/VBE5spuAAq include ref # 1521822,gregnclt,False,Mon May 04 17:23:39 +0000 2015,0,595277620469755904
1,Twitter Web Client,"$39.99: Handy Trends Queen Size 4 Minute Raised Bed
http://bit.ly/Cp8NI",,False,Fri Jul 17 12:01:31 +0000 2009,0,2687103049
19,Twitter Web Client,#Fall snuggle supplies! 😍 https://t.co/adCzet7aQV,,False,Mon Oct 12 17:34:28 +0000 2015,16,653624792243904512
12,Sprinklr,Who's ready for the #weekend?! Set the slow cooker and enjoy it! See this #recipe here: https://t.co/MlX6hsWmM2 https://t.co/qa3FT5sKbQ,,False,Sat Mar 12 02:20:01 +0000 2016,4,708477618321035264
17,Sprinklr,Pull together a spine-chilling front yard display this Halloween 👻 See more here: https://t.co/x5GqQJQ6GH https://t.co/FZfosMerQl,,False,Tue Oct 09 14:22:01 +0000 2018,7,1049666294629494784
31,Sprinklr,Happy #FathersDay to all the rockstar superheroes! https://t.co/zCXlQbk7ts,,False,Sun Jun 18 14:20:01 +0000 2017,11,876444392210518016
1,Sprinklr,"@Yoel_NY It is something we may look into in the future, but not something we currently offer. Thank you for reaching out!",Yoel_NY,False,Tue Jun 07 16:44:42 +0000 2016,0,740222964998803462
