favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
0,SocialEngage,@HikingTheTrail @PatrickKTown Thanks for the shout out Adam. #gpspal ^AB,HikingTheTrail,False,Thu Jun 14 18:37:00 +0000 2012,0,213339270558121984
4,Twitter Web Client,"With Omni-Freeze Zero, you stay cooler longer. Which means you can do the things that make you sweat longer. Enjoy! http://t.co/veH4aqjKfh",,False,Fri Aug 02 22:09:14 +0000 2013,8,363421259121430529
0,Twitter Web Client,@MalakaiMihavit Check out our Store Locator to find one near you: http://t.co/RshFXycuIM,MalakaiMihavit,False,Mon Dec 15 18:27:03 +0000 2014,0,544559277185044480
15,Adobe® Social,"OutDry ECO is one of the greenest jackets on the market, made from approximately 21 recycled bottles. 
Learn more:… https://t.co/tJQZh9uOWQ",,False,Sun Jan 01 21:00:04 +0000 2017,3,815663906601373696
0,SocialEngage,[VIDEO] Here is the clip of Wim Hof breaking the world record of enduring ice. http://t.co/vTOl15Xk @foxandfriends #wimhof,,False,Thu Nov 17 18:04:07 +0000 2011,2,137229543445499905
15,Adobe® Social,Not many more of these days left before school starts! Summit your summer to-do list now! http://t.co/KfeQWhWpON,,False,Tue Aug 11 23:57:04 +0000 2015,5,631253027152760833
9,Twitter for iPhone,Matching Jackets = #PuppyLove 🐾 https://t.co/NKESC79NRU,,False,Wed Jun 15 00:55:46 +0000 2016,2,742883260527607808
5,Adobe® Social,One week till #MemorialDay. How do you celebrate? https://t.co/kK9St6CRrp https://t.co/RyoqIvgigU,,False,Mon May 23 16:00:30 +0000 2016,1,734776023170973696
0,Twitter Web Client,@bazzbassler and we're so happy you're shouting it from the rooftops :D,bazzbassler,False,Thu May 07 22:00:12 +0000 2015,0,596434381511729152
0,SocialEngage,"Reality TV show stars detained in the Bering Sea by Russian to be released. Name of the show? ""Dangerous Waters"" http://t.co/u2ejhVdW #AwMan",,False,Thu Jul 12 23:26:13 +0000 2012,1,223558913780490241
1,TweetDeck,@wigirl4ever come on! Everyone likes a game night! #omnitalk #CardsAgainstHumanity,wigirl4ever,False,Thu Mar 19 16:06:52 +0000 2015,0,578588458978910208
0,SocialEngage,@ohheeyy And on a day like this... talk about #gorgeous. Have a good weekend!  ^AB,ohheeyy,False,Fri Nov 18 21:07:29 +0000 2011,0,137638078918561793
1,SocialEngage,"@ohlizzi Awesome Liz, thanks for sticking with us!  ^AB",ohlizzi,False,Thu Feb 28 22:14:49 +0000 2013,0,307252542457380864
1,SocialEngage,@StinaSmash Watch for my DM.  ^AB,kristinanikopic,False,Fri Jan 13 19:17:16 +0000 2012,0,157904061641916418
0,SocialEngage,@Columbia1938 about to go buy all my fishing gear for this season!  #paycheck #pfg /via @chasewatson33 Where are you fishing Chase? ^AB,Columbia1938,False,Fri Mar 02 23:19:29 +0000 2012,0,175722022066851840
0,SocialEngage,@BlueFoxCA Definitely drop us a line on the support tab in the app. Unless you did some mad stair stepping action.   ^AB,,False,Wed Sep 12 00:04:28 +0000 2012,0,245674200352817154
0,SocialEngage,@CathyfromOhio Great to hear Cathy. Will pass along to our CS peeps.  ^AB,CathyfromOhio,False,Fri Feb 17 22:33:28 +0000 2012,0,170637012993458176
