,Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume,twitter,avg_sentiment,total_tweets,total_retweets,total_favorites,change,change_int
0,2006-10-02,55.59,56.49,54.9,55.8,327200.0,0.0,1.0,23.046856921335,23.419984664260003,22.760792318426,23.133920061351,654400.0,,0.0,0.0,0.0,0.0,0.0,-1
1,2006-10-03,52.76,54.16,52.1,52.8,1800200.0,0.0,1.0,21.873577463027,22.453998396465,21.599950451548,21.890160918268,3600400.0,,0.0,0.0,0.0,0.0,-3.0,-1
2,2006-10-04,52.61,53.63,51.99,53.52,490200.0,0.0,1.0,21.811389505872,22.234267614521,21.554345949635,22.188663112607998,980400.0,,0.0,0.0,0.0,0.0,0.720000000000006,1
3,2006-10-05,53.41,54.5,53.28,54.44,403600.0,0.0,1.0,22.143058610695,22.594957766015,22.089162381161,22.570082583153,807200.0,,0.0,0.0,0.0,0.0,0.9199999999999946,1
4,2006-10-06,54.42,55.5,53.9,55.0,678000.0,0.0,1.0,22.561790855532998,23.009544147042998,22.346205937398,22.802250956529,1356000.0,,0.0,0.0,0.0,0.0,0.5600000000000023,1
5,2006-10-09,54.81,55.13,54.02,55.02,351600.0,0.0,1.0,22.723479544134,22.856147186062003,22.395956303122002,22.810542684149,703200.0,,0.0,0.0,0.0,0.0,0.020000000000003126,1
6,2006-10-10,54.94,55.33,54.59,54.83,291800.0,0.0,1.0,22.777375773667004,22.939064462268,22.632270540307,22.731771271754,583600.0,,0.0,0.0,0.0,0.0,-0.19000000000000483,-1
7,2006-10-11,54.57,55.08,54.2,54.87,297400.0,0.0,1.0,22.623978812687,22.835417867011,22.470581851707,22.748354726995,594800.0,,0.0,0.0,0.0,0.0,0.03999999999999915,1
8,2006-10-12,55.0,55.78,54.59,55.77,269000.0,0.0,1.0,22.802250956529,23.125628333730997,22.632270540307,23.12148246992,538000.0,,0.0,0.0,0.0,0.0,0.9000000000000057,1
9,2006-10-13,55.61,56.2,55.58,55.86,329400.0,0.0,1.0,23.055148648956,23.299754613762,23.042711057525,23.158795244213,658800.0,,0.0,0.0,0.0,0.0,0.0899999999999963,1
10,2006-10-16,55.96,56.11,55.32,55.96,478600.0,0.0,1.0,23.200253882315998,23.26244183947,22.934918598457998,23.200253882315998,957200.0,,0.0,0.0,0.0,0.0,0.10000000000000142,1
11,2006-10-17,55.51,55.59,54.63,55.3,373600.0,0.0,1.0,23.013690010853,23.046856921335,22.648853995549,22.926626870837,747200.0,,0.0,0.0,0.0,0.0,-0.6600000000000037,-1
12,2006-10-18,55.45,55.58,54.84,55.3,320600.0,0.0,1.0,22.988814827991,23.042711057525,22.735917135563998,22.926626870837,641200.0,,0.0,0.0,0.0,0.0,0.0,-1
13,2006-10-19,55.31,55.51,55.02,55.51,235800.0,0.0,1.0,22.930772734647004,23.013690010853,22.810542684149,23.013690010853,471600.0,,0.0,0.0,0.0,0.0,0.21000000000000085,1
14,2006-10-20,55.52,55.52,54.67,55.16,299200.0,0.0,1.0,23.017835874663,23.017835874663,22.66543745079,22.868584777493002,598400.0,,0.0,0.0,0.0,0.0,-0.3500000000000014,-1
15,2006-10-23,55.05,56.06,54.93,55.98,418400.0,0.0,1.0,22.82298027558,23.241712520418,22.773229909857,23.208545609936,836800.0,,0.0,0.0,0.0,0.0,0.8200000000000003,1
16,2006-10-24,55.67,56.79,55.33,56.14,342800.0,0.0,1.0,23.080023831817,23.544360578569,22.939064462268,23.274879430901,685600.0,,0.0,0.0,0.0,0.0,0.1600000000000037,1
17,2006-10-25,56.22,56.73,55.63,56.42,456400.0,0.0,1.0,23.308046341383,23.519485395707,23.063440376576,23.390963617588,912800.0,,0.0,0.0,0.0,0.0,0.28000000000000114,1
18,2006-10-26,56.31,57.57,56.13,56.99,498400.0,0.0,1.0,23.345359115675002,23.86773795577,23.27073356709,23.627277854773997,996800.0,,0.0,0.0,0.0,0.0,0.5700000000000003,1
19,2006-10-27,58.05,58.48,56.39,57.13,1143200.0,0.0,1.0,24.066739418663996,24.245011562505997,23.378526026156997,23.685319948118,2286400.0,,0.0,0.0,0.0,0.0,0.14000000000000057,1
20,2006-10-30,57.0,57.26,56.33,56.93,327800.0,0.0,1.0,23.631423718584,23.739216177652,23.353650843296,23.602402671912,655600.0,,0.0,0.0,0.0,0.0,-0.20000000000000284,-1
21,2006-10-31,56.4601,56.98,55.6,55.84,542400.0,0.0,1.0,23.407588531468,23.623131990963998,23.051002785145997,23.150503516592003,1084800.0,,0.0,0.0,0.0,0.0,-1.0899999999999963,-1
22,2006-11-01,55.72,55.99,54.55,54.65,274000.0,0.0,1.0,23.100753150869004,23.212691473746,22.615687085066,22.657145723169,548000.0,,0.0,0.0,0.0,0.0,-1.1900000000000048,-1
23,2006-11-02,54.36,54.88,53.7,54.46,483200.0,0.0,1.0,22.536915672671,22.752500590805997,22.263288661193,22.578374310774002,966400.0,,0.0,0.0,0.0,0.0,-0.18999999999999773,-1
24,2006-11-03,54.66,55.18,54.0,54.43,260000.0,0.0,1.0,22.661291586978997,22.876876505114,22.387664575501,22.565936719343,520000.0,,0.0,0.0,0.0,0.0,-0.030000000000001137,-1
25,2006-11-06,54.61,55.76,54.57,55.59,669000.0,0.0,1.0,22.640562267928,23.11733660611,22.623978812687,23.046856921335,1338000.0,,0.0,0.0,0.0,0.0,1.1600000000000037,1
26,2006-11-07,55.72,56.77,55.66,55.76,340400.0,0.0,1.0,23.100753150869004,23.536068850948,23.075877968007003,23.11733660611,680800.0,,0.0,0.0,0.0,0.0,0.1699999999999946,1
27,2006-11-08,55.4,56.21,55.16,55.99,250200.0,0.0,1.0,22.96808550894,23.303900477571997,22.868584777493002,23.212691473746,500400.0,,0.0,0.0,0.0,0.0,0.23000000000000398,1
28,2006-11-09,56.12,56.17,54.84,55.27,206000.0,0.0,1.0,23.26658770328,23.287317022331,22.735917135563998,22.914189279406,412000.0,,0.0,0.0,0.0,0.0,-0.7199999999999989,-1
29,2006-11-10,55.14,56.0,54.84,55.94,252600.0,0.0,1.0,22.860293049873,23.216837337557003,22.735917135563998,23.191962154695002,505200.0,,0.0,0.0,0.0,0.0,0.6699999999999946,1
30,2006-11-13,55.91,56.51,55.43,55.98,212200.0,0.0,1.0,23.179524563264,23.428276391881,22.980523100371,23.208545609936,424400.0,,0.0,0.0,0.0,0.0,0.03999999999999915,1
31,2006-11-14,56.03,57.29,55.14,57.2,405000.0,0.14,1.0,23.286129797694997,23.809787187398,22.916244816079,23.772383088134,810000.0,,0.0,0.0,0.0,0.0,1.220000000000006,1
32,2006-11-15,56.82,58.4,56.82,57.99,935800.0,0.0,1.0,23.614454669017,24.271104411661,23.614454669017,24.100707959456,1871600.0,,0.0,0.0,0.0,0.0,0.7899999999999991,1
33,2006-11-16,58.01,58.22,57.43,57.78,381600.0,0.0,1.0,24.109019981515,24.196296213132,23.86797134181,24.013431727839,763200.0,,0.0,0.0,0.0,0.0,-0.21000000000000085,-1
34,2006-11-17,59.0,60.17,58.57,58.95,646400.0,0.0,1.0,24.520465073425,25.006718363864003,24.341756599161002,24.499685018277997,1292800.0,,0.0,0.0,0.0,0.0,1.1700000000000017,1
35,2006-11-20,58.82,60.32,58.73,59.87,580400.0,0.0,1.0,24.445656874896002,25.069058529305,24.408252775631,24.882038032982003,1160800.0,,0.0,0.0,0.0,0.0,0.9199999999999946,1
36,2006-11-21,59.94,60.83,59.67,60.47,536800.0,0.0,1.0,24.911130110187997,25.281015091803997,24.798917812394,25.131398694745997,1073600.0,,0.0,0.0,0.0,0.0,0.6000000000000014,1
37,2006-11-22,60.86,61.37,60.47,61.02,590800.0,0.0,1.0,25.293483124892003,25.505439687391,25.131398694745997,25.359979301362,1181600.0,,0.0,0.0,0.0,0.0,0.5500000000000043,1
38,2006-11-24,60.47,61.06,60.19,60.55,163600.0,0.0,1.0,25.131398694745997,25.37660334548,25.015030385922998,25.164646782981,327200.0,,0.0,0.0,0.0,0.0,-0.47000000000000597,-1
39,2006-11-27,60.38,60.47,59.04,59.14,700200.0,0.0,1.0,25.093994595481,25.131398694745997,24.537089117542,24.578649227836,1400400.0,,0.0,0.0,0.0,0.0,-1.4099999999999966,-1
40,2006-11-28,59.04,59.14,58.44,58.91,588000.0,0.0,1.0,24.537089117542,24.578649227836,24.287728455779,24.483060974159997,1176000.0,,0.0,0.0,0.0,0.0,-0.23000000000000398,-1
41,2006-11-29,59.0,59.7,58.8101,59.18,379200.0,0.0,1.0,24.520465073425,24.811385845482,24.441542423976998,24.595273271954003,758400.0,,0.0,0.0,0.0,0.0,0.2700000000000031,1
42,2006-11-30,59.15,59.33,58.53,58.85,448200.0,0.0,1.0,24.582805238866,24.657613437395,24.325132555043,24.458124907984,896400.0,,0.0,0.0,0.0,0.0,-0.3299999999999983,-1
43,2006-12-01,58.91,59.82,58.11,58.89,393800.0,0.0,1.0,24.483060974159997,24.861257977835002,24.150580091809,24.474748952101002,787600.0,,0.0,0.0,0.0,0.0,0.03999999999999915,1
44,2006-12-04,58.85,59.67,58.85,59.66,452400.0,0.0,1.0,24.458124907984,24.798917812394,24.458124907984,24.794761801365,904800.0,,0.0,0.0,0.0,0.0,0.769999999999996,1
45,2006-12-05,59.96,59.96,59.12,59.28,520800.0,0.0,1.0,24.919442132247,24.919442132247,24.570337205778,24.636833382248,1041600.0,,0.0,0.0,0.0,0.0,-0.37999999999999545,-1
46,2006-12-06,59.14,61.46,59.0,61.32,786200.0,0.0,1.0,24.578649227836,25.542843786655997,24.520465073425,25.484659632244,1572400.0,,0.0,0.0,0.0,0.0,2.039999999999999,1
