favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
175,Twitter Web Client,20 animated moments to make you smile: http://t.co/ufonLDL0DE,,False,Tue Apr 09 17:30:01 +0000 2013,293,321676385859010561
245,Twitter Web Client,"♫ I've been dreaming of a true love's kiss, and a prince I'm hoping comes with this! ♫ #Enchanted",,False,Tue Feb 12 17:44:08 +0000 2013,511,301386217075929089
1291,Sprinklr,First Order of business: celebrate @StarWars Day! #MayThe4thBeWithYou https://t.co/2MCIxMtAlt,,False,Wed May 04 16:45:03 +0000 2016,772,727901868798652416
576,Twitter Web Client,"Challenges can define who you are. See #TheFinestHours in theatres January 29.
https://t.co/MON9qxOYp2",,False,Wed Jul 08 16:50:29 +0000 2015,248,618824484988936192
1024,Sprinklr,Find out which Disney movies received #OscarNoms: https://t.co/71I98ybGnc https://t.co/EnaDs4MlU1,,False,Thu Jan 14 13:57:40 +0000 2016,323,687634690010910721
1100,Vine - Make a Scene,"Do-re-mi-fa-so-la-ti-ribbit! Check out the ""Everybody Loves Disney"" album for more fun. 🎤: @SamuelTsui https://t.co/OivHSQDnOw",,False,Fri Mar 25 19:03:31 +0000 2016,302,713441196962672643
71,Twitter,Thank you for another magical day. http://di.sn/L,,False,Mon Apr 25 04:30:10 +0000 2011,205,62372806410768384
1655,Sprinklr,Get out there and make some memories. http://t.co/SH4Gluahia,,False,Thu Jul 16 19:00:11 +0000 2015,896,621756228075683840
738,Twitter Web Client,"Rapunzel left the tower, Tiana bought the building, and Cinderella went to the ball. Take the chance to live your dream.",,False,Thu Dec 20 17:50:23 +0000 2012,1997,281818844505468928
1148,Sprinklr,Diagnosis: Sweet. Happy #NationalLollipopDay! 🍭 https://t.co/p3d92cyTle,,False,Wed Jul 20 19:00:33 +0000 2016,435,755839831767326720
240,Twitter,"""I can never stand still. I must explore....I resent the limitations of my imagination."" - Walt Disney",,False,Mon May 09 17:35:34 +0000 2011,907,67643886943731712
809,Sprinklr,Na'vi River Journey announced for Avatar Land at @WaltDisneyWorld: https://t.co/zqFjVks6ik https://t.co/wU5z2p9w8d,,False,Fri Nov 06 23:00:06 +0000 2015,288,662766434037194752
807,Sprinklr,"Just press play, and there’ll be sunshine for days! 🎶 Mickey's birthday song is now available:… https://t.co/1eSda6UdDo",,False,Sat Nov 19 01:57:36 +0000 2016,201,799793716986777600
1014,Sprinklr,.@TheJungleBook slithers into theatresssssssss soon. 🐍 https://t.co/Z55WZtvvDW,,False,Fri Apr 01 22:00:03 +0000 2016,343,716022338605735941
1679,Twitter for iPhone,"Chris Evans, aka Captain America, is a star in stripes at the #AvengersPremiere. http://t.co/McL85xoj8P",,False,Tue Apr 14 02:05:14 +0000 2015,972,587798737956683778
807,Sprinklr,♫ So don't lose hope when you're forlorn! ♫ #Hercules http://t.co/kXfYeriHpG,,False,Tue Jul 29 23:00:09 +0000 2014,365,494256090863763456
68,Disney,"♫ Drip, drip, drop, little April shower. What can compare with your beautiful sound? ♪ http://t.co/O6DXkLcY",,False,Mon Apr 02 21:28:50 +0000 2012,240,186928201564553217
567,Sprinklr,♫ I got street savoir-faire. ♫ http://t.co/a5PFGkhof9,,False,Wed Aug 13 17:00:20 +0000 2014,302,499601356131692544
23,Twitter,Put your [webbed] feet up. http://di.sn/81,,False,Mon Jun 27 20:43:19 +0000 2011,76,85448142207713280
2472,Twitter Web Client,"""Have courage and be kind."" The new live-action #Cinderella is in theatres March 13, 2015. See the trailer here:
https://t.co/ClPYbcjNxJ",,False,Wed Nov 19 14:00:40 +0000 2014,3143,535070152820146178
2150,Sprinklr,Meant to be: http://t.co/VjqHyxXrit,,False,Sat Mar 29 20:19:52 +0000 2014,1078,450004433464991744
1899,Sprinklr,"♫ Look at the skies, they have stars in their eyes. ♫ #LadyAndTheTramp http://t.co/6I9w1Y3dtX",,False,Mon Jun 22 13:00:03 +0000 2015,954,612968289606737920
1790,Sprinklr,"8 ways you loved High School Musical, according to @OhMyDisney: https://t.co/nGlA2DGESj #HSM10 https://t.co/g9fkdWsnNv",,False,Thu Jan 21 01:30:04 +0000 2016,594,689983265663488000
772,Twitter Web Client,"“Oh mom, you’re no fun. Wanna see me be a leopard?” #Tarzan http://t.co/b7Opl9sVAf",,False,Thu Dec 19 18:57:06 +0000 2013,575,413744820163588096
1317,Sprinklr,A simple smile can do wonders. http://t.co/cnaOaziZfq,,False,Sat Jan 17 21:00:03 +0000 2015,829,556556580372873216
36,Sprinklr,The new #DisneyCrossyRoad soundtrack is magic to your ears: https://t.co/TdUIKGzWVC ✨ https://t.co/heiUN9M1Bj,,False,Sat Oct 01 01:00:03 +0000 2016,9,782022228846190592
1163,Sprinklr,♫ Redefine your priorities. ♫ http://t.co/4YKrly8TSh,,False,Tue Mar 03 02:00:02 +0000 2015,624,572577136910974976
297,Twitter Web Client,"“Adults are only kids grown up, anyway.” - Walt Disney",,False,Mon Dec 12 18:05:44 +0000 2011,2020,146289649302777856
327,Sprinklr,Your favorite heroes reassemble for @Marvel's Avengers: #AgeofUltron. See the teaser trailer here: http://t.co/SpG9jPNlzb,,False,Thu Oct 23 04:41:26 +0000 2014,241,525144945808924672
2465,Sprinklr,Baymax is back for a new #BigHero6 animated TV series! Learn more on @OhMyDisney: https://t.co/bjKUlPeOiz https://t.co/tzL7a0Iihc,,False,Wed Mar 02 16:10:00 +0000 2016,1976,705062612585857024
