favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
1,Spredfast app,"@BethanGovier We invite you to submit concerns here: http://t.co/5GiRLOaZTz. We will review and appreciate your feedback, Bethan! -RM",b_c_ggg,False,Mon Mar 09 15:50:41 +0000 2015,4,574960506768900096
15,Facebook,"Families That Facebook Together, Stay Together http://fb.me/yeWhwTNu",,False,Mon Jun 21 16:56:03 +0000 2010,45,16707000653
6,Spredfast app,"@daltynterpstra Hi Daltyn. Thanks for reaching out. To better assist you, please report a problem here: https://t.co/g5RkQHnkJs. -AO",daltynterpstra,False,Tue May 31 17:43:21 +0000 2016,3,737701009288466437
12,Spredfast app,@janinehalsey Hi Janine. We understand. The plane was pretty cool! Thanks for being part of the F8 conversation! :) -AO,janinehalsey,False,Tue Apr 12 17:57:56 +0000 2016,9,719947676607979520
1,Spredfast app,"@MrMrsParry2014 Hi there. Changing your birthday should only take a few days. For more information, please visit: http://t.co/xo0rrM0kzh -RM",MrandMrs201132,False,Mon Apr 27 20:33:18 +0000 2015,0,592788634748755969
9,Spredfast app,"@Nathan_SAFC Hey! I'd suggest reinstalling the app. If that doesn't solve the issue, please let us know: https://t.co/dHi5Gw9YYC. -AD",Nathan_SAFC,False,Mon Aug 01 19:46:21 +0000 2016,2,760200011095375872
3,Spredfast app,@Dan_Nolan There you'll learn more about impostor accounts and reporting photos. -RM,Dan_Nolan,False,Wed Jun 17 21:24:50 +0000 2015,2,611283383684104192
7,Spredfast app,"@kelimaggie1148 Hi there. To report a minor on Facebook, please follow these steps: https://t.co/r7bxAS0im4. Thanks! -AO",kelimaggie1148,False,Thu Aug 25 18:10:48 +0000 2016,2,768873273501384704
0,Spredfast app,"@MedinaDamian It's likely someone accidentally entered your email address, Damian. For more info, please visit: http://t.co/ImWEtlCX6a. -RM",MedinaDamian,False,Wed Feb 18 20:59:35 +0000 2015,0,568152874775158784
3,TweetDeck,Story of the Week: Residents of Ciudad Juárez in Mexico organize protests on Facebook against drug violence. http://bit.ly/bQiWjb,,False,Thu Feb 25 00:00:31 +0000 2010,23,9599490605
47,Hootsuite,Story of the Week: Some universities now want to keep students in school with a very familiar tool--Facebook: http://ow.ly/3Tw40,,False,Wed Feb 09 22:32:09 +0000 2011,106,35466007048880128
3,Spredfast app,"@madback We're glad you can appreciate the sweetest details, MB. :) -RM",madback,False,Thu Jun 11 20:06:38 +0000 2015,0,609089375536836608
13,Facebook,Latin Becomes a Living Language on Facebook: http://bit.ly/vHBrx,,False,Fri Oct 02 17:07:15 +0000 2009,1,4557744902
4,TweetDeck,Story of the Week: Blind atty Mike Hanson sets out on a hike of the Appalachian Trail and chronicles it on Facebook. http://bit.ly/9YGY1G,,False,Wed Mar 03 18:49:20 +0000 2010,12,9935789844
8,Facebook,Story of the Week: Long-lost friends find solace after deaths in their families by reliving childhood memories on... http://bit.ly/7Ngvoy,,False,Wed Jan 06 21:48:39 +0000 2010,3,7454919878
2,Spredfast app,"@hollydotray Hi there. Sorry to hear about this. If you haven't already, please report a problem: https://t.co/menARrhOwB. Thanks! -AO",hollydotray,False,Fri Feb 05 21:22:24 +0000 2016,0,695719142289178628
16,Spredfast app,"@startexploding Great feedback, Richard. Thanks for sharing with the community. -AO",imetrichard,False,Fri Oct 07 21:13:22 +0000 2016,6,784501897772277760
3,Spredfast app,"@rochlatinsky We're sorry to hear that, Rochelle! Let us know what could make your FB experience a better one: http://t.co/gC9a95P1rl. -RM",rochlatinsky,False,Thu Jul 02 18:26:45 +0000 2015,0,616674384904896512
3,Spredfast app,"@maaz_jowher If you're still experiencing the same issue, report it to us using these steps: http://t.co/AYn4qqWKzO. Thank you! -RM",maaz_jowher,False,Wed Jul 29 20:42:54 +0000 2015,0,626493120482537473
50,Hootsuite,"Who, What, When, and Now...Where: http://ow.ly/2rD0q",,False,Thu Aug 19 01:25:22 +0000 2010,131,21537265693
4,Hootsuite,@FunkPrince We announced changes coming on that date to boxes and tabs. More info: http://ow.ly/2pqEa,Natural_Machine,False,Fri Aug 13 21:10:09 +0000 2010,9,21095656453
11,TweetDeck,"Zuck says, ""We're building toward a web where the default is social."" #f8 Watch and chat: http://bit.ly/aUua3c",,False,Wed Apr 21 17:46:44 +0000 2010,31,12589246800
21,Hootsuite,"Gearing up for the @CNNHeroes event tomorrow: http://on.fb.me/aILg5D, support your favorite Hero with Facebook Credits:...",,False,Wed Nov 24 20:05:21 +0000 2010,14,7525197900939264
1,Spredfast app,"@mallow610 If it's not, please let us know here: http://t.co/kuoTkD5SJQ. Thank you! -RM",mallow610,False,Wed Mar 18 15:43:14 +0000 2015,0,578220120977334274
2,Spredfast app,"@cynthiadelamerc Sorry to hear that! If News Feed is still blank after refreshing your page, let us know here: http://t.co/kuoTkD5SJQ. -RM",cynthiadelamerc,False,Thu Feb 19 19:23:14 +0000 2015,0,568491014333341696
2,Spredfast app,"@jujuhalfeld Hi Juliana. Blocks are temporary. If you think you were blocked by mistake, file an appeal here: https://t.co/Zg7NC99AU7. -LP",,False,Tue Dec 29 17:39:01 +0000 2015,0,681892188238802944
6,Spredfast app,@jlongnecker1 Hi Jonathan! We appreciate your patience. How can we be of assistance? -AO,jlongnecker1,False,Tue Jun 28 19:40:59 +0000 2016,0,747877473765961728
4,Spredfast app,"@lennie_law Awesome, Lennie! Enjoy! -RM",lennie_law,False,Mon Jul 06 21:57:22 +0000 2015,3,618176939191369730
2,Twitter Web Client,[Facebook Blog] Baseball's Big Moment on Facebook: Instead of simply watching the World S.. http://tinyurl.com/6nehyg,,False,Sat Oct 25 07:07:58 +0000 2008,0,974737063
1,Spredfast app,"@virtualllls We're pretty excited, and we hope you are too! #F8",virtualllls,False,Wed Mar 25 16:07:29 +0000 2015,1,580762938782420993
