,Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume,twitter,avg_sentiment,total_tweets,total_retweets,total_favorites,change,change_int
0,2006-10-02,22.75,22.79,22.56,22.6,1696200.0,0.0,1.0,16.702894662565,16.732262389444,16.563397959888,16.592765686768,1696200.0,,0.0,0.0,0.0,0.0,0.0,-1
1,2006-10-03,22.59,22.71,22.46,22.49,1148600.0,0.0,1.0,16.585423755048,16.673526935685,16.48997864269,16.512004437850003,1148600.0,,0.0,0.0,0.0,0.0,-0.11000000000000298,-1
2,2006-10-04,22.5,22.91,22.48,22.91,1370100.0,0.0,1.0,16.519346369569,16.820365570082,16.50466250613,16.820365570082,1370100.0,,0.0,0.0,0.0,0.0,0.4200000000000017,1
3,2006-10-05,22.74,22.79,22.43,22.62,1590000.0,0.0,1.0,16.695552730845,16.732262389444,16.467952847531,16.607449550207,1590000.0,,0.0,0.0,0.0,0.0,-0.28999999999999915,-1
4,2006-10-06,22.62,22.71,22.47,22.62,1598000.0,0.0,1.0,16.607449550207,16.673526935685,16.49732057441,16.607449550207,1598000.0,,0.0,0.0,0.0,0.0,0.0,-1
5,2006-10-09,22.6,22.83,22.41,22.79,1545500.0,0.0,1.0,16.592765686768,16.761630116322998,16.453268984091,16.732262389444,1545500.0,,0.0,0.0,0.0,0.0,0.16999999999999815,1
6,2006-10-10,22.86,23.02,22.8,23.0,1429400.0,0.0,1.0,16.783655911483,16.901126819,16.739604321164,16.88644295556,1429400.0,,0.0,0.0,0.0,0.0,0.21000000000000085,1
7,2006-10-11,22.96,23.0,22.83,22.96,984400.0,0.0,1.0,16.857075228680998,16.88644295556,16.761630116322998,16.857075228680998,984400.0,,0.0,0.0,0.0,0.0,-0.03999999999999915,-1
8,2006-10-12,22.99,23.1,22.88,23.1,1257600.0,0.0,1.0,16.879101023839997,16.959862272758,16.798339774922,16.959862272758,1257600.0,,0.0,0.0,0.0,0.0,0.14000000000000057,1
9,2006-10-13,23.0,23.17,22.95,23.16,1048500.0,0.0,1.0,16.88644295556,17.011255794797002,16.849733296961,17.003913863077,1048500.0,,0.0,0.0,0.0,0.0,0.05999999999999872,1
10,2006-10-16,23.2,23.24,23.1,23.2,1274300.0,0.0,1.0,17.033281589956,17.062649316835,16.959862272758,17.033281589956,1274300.0,,0.0,0.0,0.0,0.0,0.03999999999999915,1
11,2006-10-17,23.08,23.44,23.05,23.42,1412200.0,0.0,1.0,16.945178409318,17.209487951231,16.923152614159,17.194804087792,1412200.0,,0.0,0.0,0.0,0.0,0.22000000000000242,1
12,2006-10-18,23.5,23.59,23.3,23.41,1535700.0,0.0,1.0,17.25353954155,17.319616927029,17.106700907154,17.187462156071998,1535700.0,,0.0,0.0,0.0,0.0,-0.010000000000001563,-1
13,2006-10-19,23.26,23.48,23.21,23.33,1420000.0,0.0,1.0,17.077333180274998,17.238855678111,17.040623521676,17.128726702314,1420000.0,,0.0,0.0,0.0,0.0,-0.08000000000000185,-1
14,2006-10-20,23.41,23.41,23.08,23.3,955400.0,0.0,1.0,17.187462156071998,17.187462156071998,16.945178409318,17.106700907154,955400.0,,0.0,0.0,0.0,0.0,-0.029999999999997584,-1
15,2006-10-23,24.15,25.95,23.8,25.33,7610000.0,0.0,1.0,17.730765103338,19.052312812903,17.473797493145,18.597113046275002,7610000.0,,0.0,0.0,0.0,0.0,2.0299999999999976,1
16,2006-10-24,25.41,25.58,25.1844,25.44,3400400.0,0.0,1.0,18.655848500034,18.780661339271,18.490214520435,18.677874295193,3400400.0,,0.0,0.0,0.0,0.0,0.11000000000000298,1
17,2006-10-25,25.0,25.12,24.8,25.05,3850400.0,0.0,1.0,18.354829299522,18.442932480158998,18.207990665125,18.391538958121,3850400.0,,0.0,0.0,0.0,0.0,-0.39000000000000057,-1
18,2006-10-26,25.01,25.3,25.0,25.21,1314300.0,0.0,1.0,18.362171231241,18.575087251116,18.354829299522,18.509009865638,1314300.0,,0.0,0.0,0.0,0.0,0.16000000000000014,1
19,2006-10-27,25.16,25.3,24.99,25.1,1502000.0,0.0,1.0,18.472300207039,18.575087251116,18.347487367802,18.42824861672,1502000.0,,0.0,0.0,0.0,0.0,-0.10999999999999943,-1
20,2006-10-30,25.16,25.56,25.04,25.5,3008900.0,0.12,1.0,18.559228678601,18.854287958070003,18.47071089476,18.81002906615,3008900.0,,0.0,0.0,0.0,0.0,0.3999999999999986,1
21,2006-10-31,25.5,25.96,25.46,25.92,4551000.0,0.0,1.0,18.81002906615,19.149347237539,18.780523138203,19.119841309591997,4551000.0,,0.0,0.0,0.0,0.0,0.4200000000000017,1
22,2006-11-01,25.92,26.76,25.89,26.64,5752000.0,0.0,1.0,19.119841309591997,19.739465796477,19.097711863632,19.650948012636,5752000.0,,0.0,0.0,0.0,0.0,0.7199999999999989,1
23,2006-11-02,26.5,27.13,26.43,26.6,5610100.0,0.0,1.0,19.547677264822,20.012395629986,19.496041890915002,19.62144208469,5610100.0,,0.0,0.0,0.0,0.0,-0.03999999999999915,-1
24,2006-11-03,26.5485,27.5,26.343000000000004,27.01,6022200.0,0.0,1.0,19.583453202458,20.285325463495,19.431866497631,19.923877846145,6022200.0,,0.0,0.0,0.0,0.0,0.41000000000000014,1
25,2006-11-06,27.18,27.32,26.73,27.0,2560200.0,0.0,1.0,20.04927803992,20.152548787734002,19.717336350517,19.916501364159,2560200.0,,0.0,0.0,0.0,0.0,-0.010000000000001563,-1
26,2006-11-07,27.0,27.33,26.85,27.1,2272200.0,0.0,1.0,19.916501364159,20.159925269720002,19.805854134358,19.990266184026,2272200.0,,0.0,0.0,0.0,0.0,0.10000000000000142,1
27,2006-11-08,27.05,27.19,26.93,27.0,2338500.0,0.0,1.0,19.953383774092,20.056654521905998,19.864865990251,19.916501364159,2338500.0,,0.0,0.0,0.0,0.0,-0.10000000000000142,-1
28,2006-11-09,27.0,27.04,26.88,26.99,2293200.0,0.0,1.0,19.916501364159,19.946007292105,19.827983580318,19.909124882172,2293200.0,,0.0,0.0,0.0,0.0,-0.010000000000001563,-1
29,2006-11-10,27.0,27.085,26.89,26.93,1799400.0,0.0,1.0,19.916501364159,19.979201461046,19.835360062305,19.864865990251,1799400.0,,0.0,0.0,0.0,0.0,-0.05999999999999872,-1
30,2006-11-13,26.98,27.01,26.56,26.75,2303800.0,0.0,1.0,19.901748400185,19.923877846145,19.591936156743,19.73208931449,2303800.0,,0.0,0.0,0.0,0.0,-0.17999999999999972,-1
31,2006-11-14,26.85,26.97,26.71,26.95,2359800.0,0.0,1.0,19.805854134358,19.894371918198,19.702583386544003,19.879618954225,2359800.0,,0.0,0.0,0.0,0.0,0.1999999999999993,1
32,2006-11-15,26.9,26.97,26.84,26.87,2151500.0,0.0,1.0,19.842736544291,19.894371918198,19.798477652370998,19.820607098331,2151500.0,,0.0,0.0,0.0,0.0,-0.0799999999999983,-1
33,2006-11-16,26.89,26.99,26.75,26.91,1472400.0,0.0,1.0,19.835360062305,19.909124882172,19.73208931449,19.850113026278,1472400.0,,0.0,0.0,0.0,0.0,0.03999999999999915,1
34,2006-11-17,26.88,26.9,26.69,26.83,1614200.0,0.0,1.0,19.827983580318,19.842736544291,19.687830422570002,19.791101170384,1614200.0,,0.0,0.0,0.0,0.0,-0.08000000000000185,-1
35,2006-11-20,26.84,27.13,26.73,27.0,2108300.0,0.0,1.0,19.798477652370998,20.012395629986,19.717336350517,19.916501364159,2108300.0,,0.0,0.0,0.0,0.0,0.1700000000000017,1
36,2006-11-21,27.0,27.13,26.87,27.1,2173800.0,0.0,1.0,19.916501364159,20.012395629986,19.820607098331,19.990266184026,2173800.0,,0.0,0.0,0.0,0.0,0.10000000000000142,1
