,Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume,twitter,avg_sentiment,total_tweets,total_retweets,total_favorites,change,change_int
0,2006-10-02,20.56,20.75,20.4,20.44,51710400.0,0.0,1.0,14.483615584012,14.617462226083,14.370902622269002,14.399080862704999,51710400.0,,0.0,0.0,0.0,0.0,0.0,-1
1,2006-10-03,20.4,20.79,20.17,20.57,80567600.0,0.0,1.0,14.370902622269002,14.645640466518,14.208877739763,14.490660144121001,80567600.0,,0.0,0.0,0.0,0.0,0.129999999999999,1
2,2006-10-04,20.5,20.88,20.49,20.82,78890600.0,0.0,1.0,14.441348223359,14.709041507499,14.43430366325,14.666774146845,78890600.0,,0.0,0.0,0.0,0.0,0.25,1
3,2006-10-05,20.8,20.98,20.66,20.78,53715500.0,0.0,1.0,14.652685026627,14.779487108589,14.554061185102,14.638595906408998,53715500.0,,0.0,0.0,0.0,0.0,-0.03999999999999915,-1
4,2006-10-06,20.61,20.7001,20.4099,20.63,63556800.0,0.0,1.0,14.518838384556998,14.582309871139,14.377876736777,14.532927504775,63556800.0,,0.0,0.0,0.0,0.0,-0.15000000000000213,-1
5,2006-10-09,20.52,20.79,20.46,20.62,46476300.0,0.0,1.0,14.455437343577001,14.645640466518,14.413169982923,14.525882944666,46476300.0,,0.0,0.0,0.0,0.0,-0.00999999999999801,-1
6,2006-10-10,20.53,21.02,20.42,20.89,73980400.0,0.0,1.0,14.462481903686,14.807665349024001,14.384991742487,14.716086067607998,73980400.0,,0.0,0.0,0.0,0.0,0.2699999999999996,1
7,2006-10-11,20.76,21.28,20.74,20.89,106865400.0,0.0,1.0,14.624506786192,14.990823911857,14.610417665974,14.716086067607998,106865400.0,,0.0,0.0,0.0,0.0,0.0,-1
8,2006-10-12,21.11,21.55,20.95,21.49,81941100.0,0.0,1.0,14.871066390005,15.181027034799,14.758353428262,15.138759674145,81941100.0,,0.0,0.0,0.0,0.0,0.5999999999999979,1
9,2006-10-13,21.4,21.85,21.38,21.6,78944400.0,0.0,1.0,15.075358633165,15.392363838067999,15.061269512947,15.216249835344,78944400.0,,0.0,0.0,0.0,0.0,0.11000000000000298,1
