favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
3,Twitter Web Client,The @TransWorldSKATE #Payday winner got his payday delivered by @ishodwair! Check it out! http://t.co/kS9AxMkE,,False,Fri Jul 20 16:31:00 +0000 2012,2,226353523623854080
0,Twitter Web Client,@Kevin_Kha You need to follow us in order for us to able to DM you!,____KENSHO,False,Mon May 14 17:40:44 +0000 2012,0,202091085487546369
2,Twitter for iPhone,#Holeshot goes to @ryan_villopoto2! #MonsterEnergySX,,False,Sun Feb 17 02:18:16 +0000 2013,10,302965157095677953
18,Twitter Web Client,@MonsterGaming Glad you made it!,MonsterGaming,False,Fri Mar 04 01:38:35 +0000 2016,2,705568085864910849
4,Twitter for iPhone,@kellyalievans #CantStopWontStop 🏃🏼‍♀️,kellyalievans,False,Fri Nov 11 04:58:07 +0000 2016,3,796940043910725633
30,Twitter Web Client,Are you ready for Winter @XGames?! Ayuu Hirano wants to #BeTheFirst to do something no one has seen before... http://t.co/hkkjhg08LU,,False,Fri Jan 17 21:28:43 +0000 2014,16,424292220875726848
117,Twitter Web Client,Would u still hit it after a slam like that?! 😱 Watch @guskenworthy's new edit Only Human: https://t.co/HRgNMcNapU https://t.co/N7VW63Bxrs,,False,Mon Jul 25 21:10:20 +0000 2016,18,757684430605430785
45,Twitter Web Client,Sometimes you just have to #StartOver... @joshhansen100 is on his way to a comeback! Watch now: http://t.co/bzech6PAPP,,False,Fri Aug 01 19:38:43 +0000 2014,22,495292561594916864
356,Twitter Web Client,Catch the #DriftLambo action from the LIVE stream from the @D1GRANDPRIX this weekend! https://t.co/XnpOJkvcBc https://t.co/g7OnwzwTTk,,False,Fri Oct 23 00:36:12 +0000 2015,143,657354802578329601
358,Twitter Web Client,"Going for a swim. 🏊🏻
Watch the World of X #TrailofMissions Show this Sunday, Sept. 4th on ABC https://t.co/NyGl7RNrcU",,False,Tue Aug 30 22:46:48 +0000 2016,76,770754670822199296
316,Vine - Make a Scene,.@cassandrasharpe throwing down at @XGames Ski Superpipe finals!! @GoPro #UnleashedAtX #xgames https://t.co/cLi9rw1tRp,,False,Sat Jan 30 02:28:45 +0000 2016,91,693259522966712320
104,Twitter Web Client,Travel like a pro this winter season with these tips from our globe-trotting athletes. Read more:… https://t.co/AVuo2BSPLq,,False,Tue Nov 01 21:26:58 +0000 2016,30,793565017916346368
2,Twitter Web Client,Park City gives us the @aschlopy athlete profile! Check it out! http://youtu.be/UYJrMLaFg1U,,False,Thu Apr 28 21:27:04 +0000 2011,6,63715879476674560
0,Twitter Web Client,#DealOfTheCentury! @MammothMountain Season pass for college students only $299! What are you waiting for?http://t.co/9UyLyZGd,,False,Fri Oct 28 17:05:22 +0000 2011,4,129967001652301824
2,Instagram,#covershot @john_john_florence nabs the cover of this months @surfingmagazine http://t.co/kxIV4obJ,,False,Mon Apr 23 19:09:56 +0000 2012,11,194503391240650752
0,Instagram,#ReadyToWinIt Peterhansel continues his lead at @dakarofficial!  http://t.co/AuQcil91,,False,Sat Jan 14 23:20:46 +0000 2012,5,158327727517208576
2,Twitter for iPhone,Just got the new issue. @peterramondetta on the cover! Thanks @thrashermag and @REAL_RL4EVR ! http://t.co/8WnRDQXm,,False,Wed Jan 04 19:22:51 +0000 2012,4,154643970289438720
190,Twitter Web Client,Check out the #MonsterGirls doing their thing at the Czech @SpeedwayGP! See more: http://t.co/cRLLGsLyp5 http://t.co/bQoyf2Wjut,,False,Thu May 28 00:14:00 +0000 2015,57,603715811677773824
0,Twitter Web Client,You can also check out #TORC and new Monster Energy sandrail by Buckshot at Off Road Expo in Pomona today. http://tinyurl.com/meccz9 #DIRT,,False,Sat Oct 10 20:00:16 +0000 2009,0,4767622976
1,Twitter for iPhone,FMX @XGames round 1 going on now! Cmon @Andre__Villa @nateadams741 & Jones! http://t.co/abkfKlf,,False,Fri Jul 29 23:38:42 +0000 2011,3,97088692073672704
