favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
1,Hootsuite,#paypalit and cold #pizza is a thing of the past! RT@TheShoeDoctor1 Thank god for @PayPal or my pizza would be cold waiting for my change!,,False,Mon Sep 23 21:46:02 +0000 2013,3,382259587111743488
17,Twitter Web Client,Keep holiday gifting simple &amp; stylish by sending money and a @jonathanadler digital greeting.… https://t.co/3QEqk6x892,,False,Tue Dec 06 17:47:38 +0000 2016,4,806193395802640384
0,Twitter Web Client,"See Carlos? Have him get in touch with us: http://t.co/5SYp4GQTzP. @JoeKoenJewelers, do you have a lead? #paypalit http://t.co/ZxM8sm2Y8z",,False,Fri Dec 13 23:10:05 +0000 2013,0,411634156179709952
2,Hootsuite,#paypalit and it’s #soeasy to #TreatYourself. MT @KelaWalker Is it just me or does @PayPal money feel like play money?,,False,Tue Feb 11 03:15:22 +0000 2014,1,433076769298874368
0,Twitter for iPhone,"#PayPal's @davidmarcus introduces @TheRealBuzz, ""A true icon."" #PayPalGalactic",,False,Thu Jun 27 16:20:59 +0000 2013,1,350287654237114368
1,Twitter Web Client,"@ivan_temelkov Attention: we’ve got a pro user on our hands. As an expert, what’s your favorite place to #paypalit?",ivan_temelkov,False,Wed Jul 02 22:55:41 +0000 2014,0,484470493873848321
0,Hootsuite,@wholesaleforums Thanks for the shout out! #paypalit. Hope to #SeeYouInAustin! @mashable @spotify,wholesaleforums,False,Thu Sep 05 00:15:37 +0000 2013,0,375411860822306816
0,Twitter Web Client,justin.tv is live streaming #sfnewtech,,False,Thu Aug 13 02:28:35 +0000 2009,0,3278263002
0,Hootsuite,@unafox We’re so glad you’re enjoying our #poemgrams.,unafox,False,Tue Feb 11 01:20:03 +0000 2014,0,433047746304831488
0,Hootsuite,"@TheAlbert9399 It sure beats waking up to an alarm clock. Tell us, how will you #paypalit?",fsuZEKE,False,Mon Aug 05 23:31:59 +0000 2013,0,364529245147906048
0,Hootsuite,@fresh_xpress #paypalit and go wild.,,False,Fri Sep 13 22:31:18 +0000 2013,0,378647099426226176
2,Hootsuite,Go forth and #paypalit for lunch. MT @SkySongConnect enjoying lunch using @PayPal app #paypalit http://t.co/Ofin3ZIC5e,,False,Fri Apr 18 21:00:27 +0000 2014,4,457262403382960128
0,Twitter Web Client,"@sitepointdotcom Also, no 'double dipping'. Either the buyer OR the seller have the option to pay, not both: http://bit.ly/qRV3b",sitepointdotcom,False,Wed Aug 19 22:05:09 +0000 2009,0,3414172645
0,Twitter Web Client,"@JoshCohan We can match that offer, @Yankees tickets to #OpeningDay on us. Follow and DM us your info. #paypalit",JoshCohan,False,Mon Apr 01 14:58:07 +0000 2013,1,318739057280692225
0,TweetDeck,RT @ebayinkblog: More photos from PayPal #xinnovate - Please tag people if you recognize anyone I've missed http://bit.ly/aEihJm,,False,Tue Oct 26 21:33:57 +0000 2010,0,28827301748
18,Twitter Web Client,"If you're a freelancer who hasn't filed yet, #TuesdayTreat yourself to the @QuickBooks Self-Employed tax tool: https://t.co/aBU1LEaXtp.",,False,Tue Apr 12 22:08:18 +0000 2016,11,720010681525776385
1,Hootsuite,What a happy day! #paypalit RT @DoodyOfficial @PayPal in #Georgia what a dream come true!,,False,Thu Apr 11 15:46:11 +0000 2013,2,322375032682737665
4,Twitter Web Client,Nearly 60% of shoppers said that they'd like to receive a gift card this holiday. We have you covered: https://t.co/XhNDtYFo3b. #paypalit,,False,Tue Dec 08 17:42:46 +0000 2015,5,674282988218146816
