,Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume,twitter,avg_sentiment,total_tweets,total_retweets,total_favorites,change,change_int
0,2015-07-20,41.46,42.55,39.8,40.47,52286509.0,0.0,1.0,41.46,42.55,39.8,40.47,52286509.0,"[[0.13636363636363635, 194.0, 88.0], [0.5, 38.0, 35.0], [0.2864285714285714, 70.0, 42.0], [0.4, 41.0, 60.0], [0.49000000000000005, 20.0, 8.0], [0.0, 448.0, 312.0]]",0.3021320346320346,6.0,811.0,545.0,0.0,-1
1,2015-07-21,41.08,41.11,39.12,39.35,32954573.0,0.0,1.0,41.08,41.11,39.12,39.35,32954573.0,"[[0.7, 8.0, 3.0], [0.0, 9.0, 15.0]]",0.35,2.0,17.0,18.0,-1.1199999999999974,-1
2,2015-07-22,39.35,39.7178,38.1,38.39,25380859.0,0.0,1.0,39.35,39.7178,38.1,38.39,25380859.0,"[[0.04545454545454545, 8.0, 9.0], [-0.2, 5.0, 6.0]]",-0.07727272727272728,2.0,13.0,15.0,-0.9600000000000009,-1
3,2015-07-23,38.74,38.75,36.93,37.01,19250154.0,0.0,1.0,38.74,38.75,36.93,37.01,19250154.0,"[[0.0, 10.0, 4.0], [1.0, 3.0, 2.0]]",0.5,2.0,13.0,6.0,-1.3800000000000026,-1
4,2015-07-24,37.71,38.0,36.91,37.0,14274305.0,0.0,1.0,37.71,38.0,36.91,37.0,14274305.0,"[[0.3333333333333333, 6.0, 5.0]]",0.3333333333333333,1.0,6.0,5.0,-0.00999999999999801,-1
5,2015-07-27,36.78,37.38,36.22,36.39,16179913.0,0.0,1.0,36.78,37.38,36.22,36.39,16179913.0,"[[0.25, 4.0, 4.0], [-0.022222222222222237, 6.0, 4.0], [-0.18888888888888888, 6.0, 7.0], [0.0, 3.0, 4.0], [0.25, 2.0, 4.0], [-0.16666666666666666, 12.0, 9.0]]",0.02037037037037037,6.0,33.0,32.0,-0.6099999999999994,-1
6,2015-07-28,37.19,38.0,36.8296,37.6,18986016.0,0.0,1.0,37.19,38.0,36.8296,37.6,18986016.0,"[[0.0, 3.0, 6.0], [-0.03333333333333333, 2.0, 5.0], [0.25, 7.0, 3.0], [0.25, 6.0, 8.0], [0.0, 3.0, 3.0]]",0.09333333333333334,5.0,21.0,25.0,1.2100000000000009,1
7,2015-07-29,38.03,38.1,37.62,37.95,11788439.0,0.0,1.0,38.03,38.1,37.62,37.95,11788439.0,"[[-0.16666666666666666, 10.0, 3.0], [0.0, 3.0, 1.0], [0.09444444444444444, 4.0, 1.0], [0.5, 2.0, 4.0]]",0.10694444444444445,4.0,19.0,9.0,0.3500000000000014,1
8,2015-07-30,38.04,39.01,37.715,38.45,13845091.0,0.0,1.0,38.04,39.01,37.715,38.45,13845091.0,"[[0.0, 5.0, 13.0], [0.5499999999999999, 4.0, 1.0], [0.35, 6.0, 2.0], [0.29166666666666663, 3.0, 7.0], [0.16666666666666666, 4.0, 1.0]]",0.2716666666666666,5.0,22.0,24.0,0.5,1
9,2015-07-31,39.14,39.2,38.2199,38.7,12480580.0,0.0,1.0,39.14,39.2,38.2199,38.7,12480580.0,"[[0.0, 5.0, 3.0], [0.0, 3.0, 1.0], [0.0, 3.0, 2.0], [0.2, 2.0, 1.0], [0.0, 3.0, 1.0]]",0.04,5.0,16.0,8.0,0.25,1
10,2015-08-03,39.25,39.88,38.9,39.39,15126574.0,0.0,1.0,39.25,39.88,38.9,39.39,15126574.0,"[[0.25, 0.0, 1.0], [0.0, 7.0, 10.0], [0.5, 87.0, 22.0]]",0.25,3.0,94.0,33.0,0.6899999999999977,1
11,2015-08-04,39.91,39.91,38.43,38.95,10992217.0,0.0,1.0,39.91,39.91,38.43,38.95,10992217.0,"[[0.3, 5.0, 1.0], [0.0, 4.0, 0.0], [0.0, 15.0, 2.0], [0.1, 1.0, 1.0], [0.2, 16.0, 2.0]]",0.12000000000000002,5.0,41.0,6.0,-0.4399999999999977,-1
12,2015-08-05,39.7,39.88,39.17,39.27,9349565.0,0.0,1.0,39.7,39.88,39.17,39.27,9349565.0,"[[0.5, 4.0, 3.0], [0.4, 2.0, 3.0], [0.21428571428571427, 9.0, 12.0], [0.75, 2.0, 3.0]]",0.4660714285714286,4.0,17.0,21.0,0.3200000000000003,1
13,2015-08-06,39.63,39.74,38.55,38.85,7324116.0,0.0,1.0,39.63,39.74,38.55,38.85,7324116.0,"[[0.0, 10.0, 3.0], [0.0, 5.0, 2.0], [0.3, 3.0, 0.0]]",0.09999999999999999,3.0,18.0,5.0,-0.4200000000000017,-1
14,2015-08-07,39.04,39.23,38.6,39.13,8331310.0,0.0,1.0,39.04,39.23,38.6,39.13,8331310.0,"[[0.3, 2.0, 1.0], [0.5, 25.0, 3.0], [0.2, 16.0, 3.0], [1.0, 49.0, 12.0], [0.5, 9.0, 1.0]]",0.5,5.0,101.0,20.0,0.28000000000000114,1
15,2015-08-10,39.43,39.69,38.7701,39.05,7998929.0,0.0,1.0,39.43,39.69,38.7701,39.05,7998929.0,"[[0.2, 9.0, 5.0], [0.0, 37.0, 10.0], [0.0, 1.0, 4.0], [0.65, 8.0, 6.0]]",0.21250000000000002,4.0,55.0,25.0,-0.0800000000000054,-1
16,2015-08-11,38.93,39.28,38.72,38.85,8184004.0,0.0,1.0,38.93,39.28,38.72,38.85,8184004.0,"[[1.0, 4.0, 1.0]]",1.0,1.0,4.0,1.0,-0.19999999999999574,-1
17,2015-08-12,38.55,38.58,37.01,38.19,21366670.0,0.0,1.0,38.55,38.58,37.01,38.19,21366670.0,"[[0.0, 73.0, 22.0], [0.0, 6.0, 15.0]]",0.0,2.0,79.0,37.0,-0.6600000000000037,-1
18,2015-08-13,38.4,38.49,37.44,37.62,7863525.0,0.0,1.0,38.4,38.49,37.44,37.62,7863525.0,"[[0.6, 5.0, 4.0], [0.0, 6.0, 5.0], [0.375, 23.0, 12.0]]",0.325,3.0,34.0,21.0,-0.5700000000000003,-1
19,2015-08-14,37.49,38.18,37.38,38.14,6271143.0,0.0,1.0,37.49,38.18,37.38,38.14,6271143.0,"[[0.0, 0.0, 2.0], [0.0, 1.0, 3.0], [0.5, 6.0, 11.0]]",0.16666666666666666,3.0,7.0,16.0,0.5200000000000031,1
20,2015-08-17,38.3,38.75,37.7,38.73,4931711.0,0.0,1.0,38.3,38.75,37.7,38.73,4931711.0,"[[1.0, 4.0, 5.0], [0.3, 43.0, 17.0], [0.1, 2.0, 4.0]]",0.46666666666666673,3.0,49.0,26.0,0.5899999999999963,1
21,2015-08-18,39.0,39.0,37.87,37.99,4678847.0,0.0,1.0,39.0,39.0,37.87,37.99,4678847.0,"[[0.0, 26.0, 11.0], [0.5, 11.0, 12.0], [0.5, 2.0, 4.0]]",0.3333333333333333,3.0,39.0,27.0,-0.7399999999999949,-1
22,2015-08-19,37.87,38.1,37.03,37.19,6923402.0,0.0,1.0,37.87,38.1,37.03,37.19,6923402.0,"[[1.0, 1.0, 5.0], [0.3666666666666667, 102.0, 83.0], [0.0, 5.0, 5.0], [0.5, 22.0, 9.0]]",0.4666666666666667,4.0,130.0,102.0,-0.8000000000000043,-1
23,2015-08-20,36.85,37.34,35.88,35.98,10645667.0,0.0,1.0,36.85,37.34,35.88,35.98,10645667.0,"[[0.0, 5.0, 4.0], [0.0, 4.0, 3.0], [0.0, 4.0, 5.0], [0.44999999999999996, 4.0, 6.0], [0.24404761904761907, 4.0, 3.0], [-0.1, 4.0, 4.0]]",0.0990079365079365,6.0,25.0,25.0,-1.2100000000000009,-1
24,2015-08-21,35.57,36.11,33.83,34.25,16824144.0,0.0,1.0,35.57,36.11,33.83,34.25,16824144.0,"[[0.0, 148.0, 41.0], [0.0, 3.0, 5.0], [0.6083333333333333, 1.0, 3.0]]",0.20277777777777775,3.0,152.0,49.0,-1.7299999999999969,-1
25,2015-08-24,31.17,34.85,30.0,33.75,19676580.0,0.0,1.0,31.17,34.85,30.0,33.75,19676580.0,"[[0.0, 11.0, 12.0], [0.0, 3.0, 2.0], [0.5, 5.0, 4.0]]",0.16666666666666666,3.0,19.0,18.0,-0.5,-1
26,2015-08-25,35.44,35.46,32.7,32.7,15557082.0,0.0,1.0,35.44,35.46,32.7,32.7,15557082.0,"[[0.6666666666666666, 4.0, 4.0], [0.125, 7.0, 3.0]]",0.3958333333333333,2.0,11.0,7.0,-1.0499999999999972,-1
27,2015-08-26,33.7,33.84,31.71,33.17,25350364.0,0.0,1.0,33.7,33.84,31.71,33.17,25350364.0,"[[0.25, 13.0, 5.0], [0.2556818181818182, 31.0, 30.0], [0.25, 0.0, 2.0]]",0.2518939393939394,3.0,44.0,37.0,0.46999999999999886,1
28,2015-08-27,34.0,34.77,33.16,34.62,18909574.0,0.0,1.0,34.0,34.77,33.16,34.62,18909574.0,"[[-0.15625, 5.0, 5.0], [0.20000000000000004, 3.0, 2.0], [0.43333333333333335, 47.0, 4.0], [0.32499999999999996, 2.0, 1.0], [0.0, 70.0, 16.0]]",0.16041666666666668,5.0,127.0,28.0,1.4499999999999957,1
29,2015-08-28,34.51,35.26,34.37,35.04,8344820.0,0.0,1.0,34.51,35.26,34.37,35.04,8344820.0,"[[0.0, 11.0, 10.0], [0.25, 3.0, 4.0], [0.25, 46.0, 31.0], [0.0, 34.0, 6.0]]",0.125,4.0,94.0,51.0,0.4200000000000017,1
30,2015-08-31,35.49,35.51,34.77,35.0,12123766.0,0.0,1.0,35.49,35.51,34.77,35.0,12123766.0,"[[0.0, 6.0, 3.0], [0.2, 5.0, 0.0], [0.5, 57.0, 12.0]]",0.2333333333333333,3.0,68.0,15.0,-0.03999999999999915,-1
31,2015-09-01,34.24,34.68,33.41,33.77,13375959.0,0.0,1.0,34.24,34.68,33.41,33.77,13375959.0,"[[0.1, 40.0, 36.0], [0.0, 23.0, 33.0], [0.14285714285714285, 7.0, 1.0], [0.2619047619047619, 183.0, 121.0], [0.0, 21.0, 43.0], [0.1, 24.0, 26.0]]",0.10079365079365078,6.0,298.0,260.0,-1.2299999999999969,-1
