favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
0,SocialEngage,#Qualcomm LIVE!: Imagine All the Possibilities with Augmented Reality http://bit.ly/gjepHz #CES,,False,Fri Jan 07 01:37:38 +0000 2011,10,23191496542912512
7,Sprinklr,"And it’s #Snapdragon powered RT @HTCUSA Smart, savvy and red hot. The new red #HTCOneM8 http://t.co/qQqvIJNpNB http://t.co/KPCJqkNZ7g",,False,Wed Jun 04 22:14:49 +0000 2014,6,474313348721684480
26,Twitter Web Client,"Magic textbook… or just the next step in better education? #WhyWait
https://t.co/wnPuei73Kq",,False,Thu Jun 25 15:59:17 +0000 2015,16,614100560493477888
7,Instagram,"It's here. See more tomorrow, 1/6, 3:15pm, at the Mandalay Bay Southeast parking lot. #bornmobile… http://t.co/HgbeCtudIn",,False,Mon Jan 06 02:33:29 +0000 2014,15,420020265557708800
0,Sprinklr,@greyjohndowe We would like to apologize for the approach taken and plan to address it. More details: http://t.co/w1FTVo2Sc2,greyjohndowe,False,Mon Jul 07 17:58:31 +0000 2014,0,486207648275374081
5,Sprinklr,@FIAformulaE Happy Birthday @Brunobelt11 🎉 🎂  The @BMW i8 Qualcomm Safety Car is in good hands. #FormulaE,FIAFormulaE,False,Wed Nov 16 18:09:52 +0000 2016,3,798951233709080577
0,Twitter for BlackBerry®,#D9 starting off strong with @ericschmidt of @google on the stage. He thinks HTML5 may be a unifying point for developers. Food for thought.,,False,Wed Jun 01 02:17:47 +0000 2011,4,75747839879282688
0,TweetDeck,"#Qualcomm Dev phone sets the bar for next-gen #Android phones, via @geekdotcom http://bit.ly/eaZTc7",,False,Mon Mar 28 19:19:23 +0000 2011,9,52449726590763008
1,Sprinklr,@RobinWest Thanks for your question! @GrobMatt is talking about drones now.,RobinSacawa,False,Wed Jul 01 16:19:49 +0000 2015,0,616280055686279169
2,TweetDeck,Prince William and Kate have a laugh with #Qualcomm's augmented reality demo at #VarietySummit in LA http://bit.ly/oBwPup via @usweekly,,False,Sun Jul 10 18:02:05 +0000 2011,6,90118607882821632
32,Sprinklr,Auto is a big part of our #IoT future. @stevemollenkopf explains why we’re teaming up with @NXP to take you there.… https://t.co/8I21ZXrCut,,False,Thu Dec 15 23:34:00 +0000 2016,20,809542051545174016
2,Sprinklr,@Dr_rami We certainly agree! Mobile is going to enable smarter and more efficient robots.,Dr_rami,False,Tue Jan 06 19:58:52 +0000 2015,0,552554917488246785
3,Sprinklr,@manukumarjain A big-screen phone deserves a big-time processor. So glad we're bringing #Snapdragon to the #MiMax. 👌🐉,manukumarjain,False,Wed May 11 17:19:05 +0000 2016,0,730447148752474113
5,Twitter Web Client,Though we can’t ALL be born royal – we are all #BornMobile. http://t.co/tsCq6koA19,,False,Mon Jul 22 20:23:02 +0000 2013,33,359408263990767616
1,Sprinklr,@SillySheep It's that easy. Good luck!,SillySheep,False,Thu Aug 20 00:04:25 +0000 2015,1,634153980633968640
0,TweetDeck,@mashable votes #Qualcomm's #Neer one of top 5 location-based services - be sure to vote! http://on.mash.to/aDYXce,mashable,False,Mon Nov 01 22:01:37 +0000 2010,0,29409981376
0,Hootsuite,"WE Learn project putting power of comps into pockets of tomorrow’s innovators, engineers & inventors -John Stefanac, Qualcomm #wirelessreach",,False,Thu Mar 29 21:40:03 +0000 2012,0,185481471249752064
0,Twitter Web Client,RT @ubergizmo FLO TV Coming To Your iPhone Via Mophie Battery Pack http://bit.ly/7Ovhar,,False,Thu Jan 21 00:50:29 +0000 2010,0,8007286551
0,Twitter Web Client,For the latest news & videos from #CTIA visit the CTIA News Room by Qualcomm: http://qualcomm.netvibesbusiness.com/#News #QualcommCTIA,,False,Mon Mar 22 21:01:20 +0000 2010,0,10890610191
0,Twitter Web Client,@jonhornUTSD “#Toq of the town” – that’s pun-y.,10NewsHorn,False,Tue Nov 19 00:38:32 +0000 2013,0,402596717838614528
0,SocialEngage,Check out what wireless can do for your car at Qualcomm’s booth #30320 Upper Level of South Hall 3,,False,Wed Dec 30 17:30:03 +0000 2009,0,7202401709
1,Twitter Web Client,@DoriMarlin Awesome – keep ‘em coming!,DoriMarlin,False,Wed Sep 18 00:25:20 +0000 2013,0,380125350203625472
